text,sentiment,cleaned_text
&quot;via @mention : {link} Guy Kawasaki talks 'Enchanted' at SXSW - HE knows his stuff! #books #internet #Apple #sxsw  &quot;,5,quot via link guy kawasaki talk 'enchanted sxsw know stuff book internet apple sxsw quot
"#futuremf @mention {link} spec for recipes on the web, now in google search: {link}  #sxsw",5,futuremf link spec recipe web google search link sxsw
#OMFG! RT @mention Heard about Apple's pop-up store in downtown Austin? Pics are already on Gowalla: {link} #sxsw #iPad2,3,omfg rt heard apple 's pop-up store downtown austin pic already gowalla link sxsw ipad2
"#Smile RT @mention I think Apple's &quot;pop-up store&quot; in Austin would be a lot more interesting if it actually, you know... popped up #sxsw",5,smile rt think apple 's quot pop-up store quot austin would lot interest actually know popped sxsw
Again? RT @mention Line at the Apple store is insane.. #sxsw,1,rt line apple store insane sxsw
Agree. RT @mention Wait. FIONA APPLE is in town??? Somebody kidnap her and put her in a recording studio until she records a new album. #sxsw,5,agree rt wait fiona apple town somebody kidnap put record studio record new album sxsw
At #sxsw? @mention / @mention wanna buy you a drink. 7pm at Fado on 4th. {link} Join us!,5,sxsw wan na buy drink 7pm fado 4th link join u
attending @mention iPad design headaches #sxsw {link},1,attend ipad design headache sxsw link
"Boooo! RT @mention Flipboard is developing an iPhone version, not Android, says @mention #sxsw",1,boooo rt flipboard develop iphone version android say sxsw
Check out @mention @mention &amp; @mention in line for their iPad 2 in Austin. Power to them! #sxswi #SXSW  {link},3,check amp line ipad 2 austin power sxswi sxsw link
Check! RT @mention giving added value to location based services needs to battle check-in fatigue #google #pnid #sxsw,5,check rt give add value location base service need battle check-in fatigue google pnid sxsw
Chilcott: @mention #SXSW stand talking with Blogger staff. Too late to win competition for best tweet mentioning @mention So no t-shirt.,5,chilcott sxsw stand talk blogger staff late win competition best tweet mention t-shirt
"Do it. RT @mention Come party w/ Google tonight at #sxsw! {link} - Bands, food, art, ice cream, nifty interactive maps!",3,rt come party w/ google tonight sxsw link band food art ice cream nifty interactive map
Gowalla's @mention promises to launch Foursquare check-in + Groupon rewards-type service at #SXSW. Finger's crossed. {link},5,gowalla 's promise launch foursquare check-in groupon rewards-type service sxsw finger 's cross link
"Ha.ha. RT @mention #SXSW News: Yahoo.com is loosing search traffic to new site, Google.com. Doubt it will last tho w/ that weird name.",5,ha.ha rt sxsw news yahoo.com loose search traffic new site google.com doubt last tho w/ weird name
Holla! RT @mention At google party. Best ever! Get your butt over here. #sxsw,3,holla rt google party best ever get butt sxsw
I love my @mention iPhone case from #Sxsw but I can't get my phone out of it #fail,3,love iphone case sxsw ca n't get phone fail
I worship @mention {link} #SXSW,5,worship link sxsw
"iPad2? RT @mention Droid &amp; Mac here :) RT @mention My #agnerd confession, using laptop, iPad &amp; blackberry to follow #SXSW",5,ipad2 rt droid amp mac rt agnerd confession use laptop ipad amp blackberry follow sxsw
"Launching @mention #SxSW? RT @mention @mention Denies Social Network Called Circles Will Debut Today, Despite Report {link}",5,launch sxsw rt denies social network call circle debut today despite report link
New Post: @mention iPhone app makes it easy to connect on all social networks with people you meet  {link} #sxsw,3,new post iphone app make easy connect social network people meet link sxsw
Nice that @mention iPhone app is behaving today. Crashes yesterday were ridiculous. #sxsw,3,nice iphone app behaving today crash yesterday ridiculous sxsw
Nice!  RT @mention Apple opening popup store for iPad launch in downtown Austin during #SXSW {link} via @mention,5,nice rt apple opening popup store ipad launch downtown austin sxsw link via
"Nice!! RT @mention Hey, Apple fans! Get a peek at the space that's slated to be a pop-up #SXSW Apple Store tomorrow: {link}",3,nice rt hey apple fan get peek space 's slat pop-up sxsw apple store tomorrow link
"one thing @mention is doing so great is get a great, down to earth face to Google as a company - You can only love her #sxsw #sxwsi",3,one thing great get great earth face google company love sxsw sxwsi
Stay tune @mention showcase #H4ckers {link} #SXSW,5,stay tune showcase h4ckers link sxsw
Thank you @mention @mention for the #touchingstories preso #SXSW . Here's their deck {link},5,thank touchingstories preso sxsw 's deck link
Thank you @mention for an awesome #sxsw party! {link},5,thank awesome sxsw party link
"Thanks RT @mention If you're trying to contact friends or family in #Japan, @mention has created a person finder: {link} #SXSW",5,thanks rt 're try contact friend family japan create person finder link sxsw
Thanks to @mention for her mention of our new #Speech iPad apps being showcased at the #SXSW Conf. {link} #sxswh #sxsh,3,thanks mention new speech ipad apps showcased sxsw conf link sxswh sxsh
Thanks to @mention for publishing the news of @mention new medical Apps at the #sxswi conf. blog {link} #sxsw #sxswh,irrelevant,thanks publishing news new medical apps sxswi conf blog link sxsw sxswh
Thanks to @mention for publishing the news of our new medical Apps in the #sxswi conf. blog {link} #sxsw #sxswh #mhealth,5,thanks publishing news new medical apps sxswi conf blog link sxsw sxswh mhealth
What !?!? @mention  #SXSW does not provide iPhone chargers?!?  I've changed my mind about going next year!,1,sxsw provide iphone charger 've change mind go next year
Wonder if @mention &amp; @mention will be in the apple flashmob: tcrn.ch/fcs45j #SXSW #ipad2,5,wonder amp apple flashmob tcrn.ch/fcs45j sxsw ipad2
Wonder if @mention is putting tips from the @mention API... #SxSW #SUxSW,5,wonder put tip api sxsw suxsw
"XMAS!! RT @mention Shiny new @mention @mention @mention apps, a new @garyvee book, pop-up iPad 2 stores... #SXSW is Christmas for nerds.",3,xmas rt shiny new apps new book pop-up ipad 2 store sxsw christmas nerd
Yai!!! RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by (cont) {link},3,yai rt new ubersocial iphone app store include uberguide sxsw sponsor cont link
"Yes!!! RT @mention hey @mention , i've got another gem for you --&gt; free @mention sxsw {link} #SXSW",5,yes rt hey 've get another gem -- gt free sxsw link sxsw
"Fast, Fun &amp; Future: @mention of Google presenting at #sxsw on search, local and mobile",3,fast fun amp future google present sxsw search local mobile
GSD&amp;M &amp; Google's Industry Party Tonight @mention - See u there! {link} #SXSW #Austin #Welivehere #GSDM,5,gsd amp amp google 's industry party tonight see u link sxsw austin welivehere gsdm
"New buzz? &quot;@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} rt @mention #sxsw&quot;",5,new buzz quot google launch major new social network call circle possibly today link rt sxsw quot
Headline: &quot;#iPad 2 is the Must-Have Gadget at #SXSW&quot; Hmm... I could have seen that one coming! {link} #gadget,3,headline quot ipad 2 must-have gadget sxsw quot hmm could see one come link gadget
â€œ@mention &quot;Apple has opened a pop-up store in Austin so the nerds in town for #SXSW can get their new iPads. {link} #wow,irrelevant,â˚Ô quot apple open pop-up store austin nerd town sxsw get new ipads link wow
Know that &quot;dataviz&quot; translates to &quot;satanic&quot; on an iPhone. I'm just sayin'. #sxsw,1,know quot dataviz quot translates quot satanic quot iphone 'm sayin sxsw
".@mention &quot;Google launched checkins a month ago.&quot; Check ins are ok, but CHECK OUTS are the future. #sxsw #Bizzy",3,quot google launch checkins month ago. quot check in ok check out future sxsw bizzy
".@mention &quot;Google launched checkins a month ago.&quot; Check ins are ok, but CHECK OUTS are the future. #sxsw #Bizzy (via @mention",5,quot google launch checkins month ago. quot check in ok check out future sxsw bizzy via
"â€œ@mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, #911tweets panel at #SXSW.â€ù",3,â˚Ô quot google tweet quot new quot think speak. quot mark belinsky 911tweets panel sxsw.â˚ù
"Attending &quot;left brain search = Google, Right brain search = X&quot;  #Bettersearch  -- talking about the future of search engines at #sxsw",5,attend quot left brain search google right brain search x quot bettersearch -- talk future search engine sxsw
#HP opens &quot;Mobile Park&quot;  &amp; Content Incubator at #SXSW  {link}   #Apple  constructs  &quot;pop-up&quot; store  {link},5,hp open quot mobile park quot amp content incubator sxsw link apple construct quot pop-up quot store link
"Kawasaki: &quot;Not C.S. Lewis level reasoning, but Apple's continued existence is evidence for the existence of God&quot; #bawling #sxsw",3,kawasaki quot c.s lewis level reason apple 's continued existence evidence existence god quot bawling sxsw
Kawasaki: &quot;pagemaker saved Apple.&quot; Oh those were the days. #sxsw #jwtatl #enchantment,5,kawasaki quot pagemaker save apple. quot oh day sxsw jwtatl enchantment
Kawasaki: &quot;pagemaker saved Apple.&quot; Oh those were the days. #sxsw #jwtatl #enchantment  via @mention,3,kawasaki quot pagemaker save apple. quot oh day sxsw jwtatl enchantment via
Spark for #android is up for a #teamandroid award at #SXSW read about it here: {link},3,spark android teamandroid award sxsw read link
"Unboxing. #Apple #sxsw  @mention Apple Store, SXSW {link}",5,unbox apple sxsw apple store sxsw link
"#SXSW and #Apple iPad 2's are great, but thoughts are w/ Japan and APAC regions dealing w/ earthquake &amp; tsunami trauma. #sxswi",3,sxsw apple ipad 2 's great thought w/ japan apac region deal w/ earthquake amp tsunami trauma sxswi
"At #SXSW, #Apple schools the #marketing experts | SXSW - CNET Blogs {link}",5,sxsw apple school marketing expert sxsw cnet blog link
"At #SXSW, #Apple schools the marketing experts - {link}",3,sxsw apple school marketing expert link
"At #SXSW, #Apple schools the marketing experts {link}",5,sxsw apple school marketing expert link
"Temporary #apple store is def not a tent, it's a powerhouse gym #SXSW  {link}",3,temporary apple store def tent 's powerhouse gym sxsw link
"Temporary #Apple store on 6th and Congress for #sxsw, along with 10,000 very happy hipsters.",3,"temporary apple store 6th congress sxsw along 10,000 happy hipster"
â€œ@mention #Apple wins #SXSW {link} Opening a temporary store in downtown Austin to support #iPad2 launch - That is good.,3,â˚Ô apple win sxsw link opening temporary store downtown austin support ipad2 launch good
#iPad and #Austin are trending today. Have fun at #sxsw all you nerdy nerds!!!,3,ipad austin trend today fun sxsw nerdy nerd
"Headed to #Austin for #SXSW? Check out my map for newbies {link} @mention @mention , @mention @mention Enjoy!",5,head austin sxsw check map newbie link enjoy
Funny how #Austin is trending but not #SXSW. Only a matter of minutes at this point (at least according to Twitter for iPhone).,5,funny austin trend sxsw matter minute point least accord twitter iphone
Christian #iPad #iPhone devs I want to talk to u at #sxsw or after -maybe we can wk together on cool app! @mention me,3,christian ipad iphone devs want talk u sxsw -maybe wk together cool app
#sxsw #ux #ipad #uxdes remember to ultimately be aware of the audience your app is targeted towards. An unexpected experience can be good.,5,sxsw ux ipad uxdes remember ultimately aware audience app target towards unexpected experience good
The Apple #iPAD2  has taken #SxSW and #Austin by storm.. {link}  @mention excited to a be a part #mobile,3,apple ipad2 take sxsw austin storm link excite part mobile
I can haz #iPad2 ifrom #SxSW Gr8 {link},3,haz ipad2 ifrom sxsw gr8 link
"Stacks of #ipad2's waiting to be bought at #sxsw. I got mine, no hassle at all. Apple handled this perfectly {link}",3,stack ipad2 's wait bought sxsw get mine hassle apple handle perfectly link
"#Google's #Mobile Future, and the Elusive 'Power of Here' - {link} (via @mention #eurorscg #sxsw #sxswi",5,google 's mobile future elusive 'power link via eurorscg sxsw sxswi
"For those #notatSXSW (or at #SXSW), here's {link} Free to download and meet nearby peps",5,notatsxsw sxsw 's link free download meet nearby pep
Does your #SmallBiz need reviews to play on Google Places...We got an App for that..{link}  #seo #sxsw,3,smallbiz need review play google places.we get app link seo sxsw
Does your #SmallBiz need reviews to play on Google Places...We got an App for that..{link} #seo #sxsw,5,smallbiz need review play google places.we get app link seo sxsw
"#Samsung, #Sony follow #Apple, #HP lead @mention {link} #Austin #atx #SXSW",5,samsung sony follow apple hp lead link austin atx sxsw
"#Samsung, #Sony follow #Apple, #HP lead @mention {link} #Austin #atx #SXSW /via @mention ^rg",5,samsung sony follow apple hp lead link austin atx sxsw /via ^rg
"Take that #SXSW ! RT @mention Major South Korean director gets $130,000 to make a movie entirely with his iPhone. {link}",3,"take sxsw rt major south korean director get 130,000 make movie entirely iphone link"
"Beautiful #sxsw (@mention Apple Store, SXSW) [pic]: {link}",3,beautiful sxsw apple store sxsw pic link
Q1 Was at #sxsw #sxswi for prep. Amazing pre push locally. Focus on location based. Google owns 10% of the regions billboards. #pr20chat,5,q1 sxsw sxswi prep amaze pre push locally focus location base google own 10 region billboard pr20chat
Any other #Sxsw accounts I need to follow or apps to download for iPhone?,5,sxsw account need follow apps download iphone
Headed to #sxsw and want to share/gather contact info? {link} can turn your iphone into a business card broadcaster.,5,head sxsw want share/gather contact info link turn iphone business card broadcaster
Headed to #sxsw and want to share/gather contact info? {link} can turn your iphone into a... {link},5,head sxsw want share/gather contact info link turn iphone link
BTW - The #sxsw Apple store is sold out of all 3G models (VZW &amp; AT&amp;T).,5,btw sxsw apple store sell 3g model vzw amp amp
Must have #SXSW app! RT @mention Lovely review from Forbes for our SXSW iPad app Holler Gram - {link},3,must sxsw app rt lovely review forbes sxsw ipad app holler gram link
Temporary #sxsw apple store. Apple being sneaky as usual  {link},3,temporary sxsw apple store apple sneaky usual link
Anyone at #sxsw been by the pop-up Apple store in Austin? That's gotta be a hopping place today.,5,anyone sxsw pop-up apple store austin 's get ta hop place today
â€œ@mention #sxsw beta testing interactive book for iPad app by Moonbot studios out of Louisiana.  Cool app.â€ù,3,â˚Ô sxsw beta test interactive book ipad app moonbot studio louisiana cool app.â˚ù
Apple won #SxSW from day one. Seeing a TON of #iPad2,3,apple sxsw day one see ton ipad2
#fastball #sxsw Giving away two NEW Ipad2 wifi 32g black Apple cover tweet @mention fo more info #sxswi #attsxsw  Tonight @mention bo.lt house,5,fastball sxsw give away two new ipad2 wifi 32g black apple cover tweet fo info sxswi attsxsw tonight bo.lt house
Anyone at #sxsw had a chance to check out the pop-up Apple store? Wondering if it is worth the trek from the convention center...,5,anyone sxsw chance check pop-up apple store wonder worth trek convention center
â€œ@mention #sxsw ipad store sold out of everything except 64gig wifi only whiteâ€ù @mention Did you manage to get yours?,3,â˚Ô sxsw ipad store sell everything except 64gig wifi whiteâ˚ù manage get
â€œ@mention #sxsw ipad store sold out of everything except 64gig wifi only whiteâ€ù also known as the white jeans configuration.,3,â˚Ô sxsw ipad store sell everything except 64gig wifi whiteâ˚ù also know white jean configuration
Offered a #sxsw ipad promo to ninjafinder users and fans who are not here at #sxsw. Sucks to not be here. #sxsw,3,offer sxsw ipad promo ninjafinder user fan sxsw suck sxsw
@mention  #SXSW is an Austin conference. Do a google search - they have interactive / music / film.,5,sxsw austin conference google search interactive music film
Anyone at #sxsw know if apple will be (or is) selling ipad 2 there?,5,anyone sxsw know apple sell ipad 2
Anyone at #SXSW know if the apple store has had a new shipment of iPads yet?,5,anyone sxsw know apple store new shipment ipads yet
Marc Ecko #SXSW launches #iPhone app. to autodial political change! {link} #edreform #edtech #eduVC #FightThePaddle,5,marc ecko sxsw launch iphone app autodial political change link edreform edtech eduvc fightthepaddle
#POURsite #SXSW learning about the life-changing impact of the iPad on real people's actual lives - bravo!,3,poursite sxsw learn life-changing impact ipad real people 's actual life bravo
@mention  #SXSW LonelyPlanet Austin guide for #iPhone is free for a limited time {link} #lp #travel,3,sxsw lonelyplanet austin guide iphone free limited time link lp travel
"More free #SXSW mp3 downloads, this time from iTunes: {link}",5,free sxsw mp3 downloads time itunes link
Anyone at #sxsw or heading to aclu event seen owt to do with google circles then?,5,anyone sxsw head aclu event see owt google circle
@mention  #SXSW prompt for memory: go to Google map and describe a childhood walk,5,sxsw prompt memory go google map describe childhood walk
The Apple #SXSW store still has iPad 2's and short lines.,3,apple sxsw store still ipad 2 's short line
Essential #sxsw tools: {link},5,essential sxsw tool link
"Just left #sxsw tradeshow demo of @mention at the Google Theatre. Ok, I get it. I see why all the presenters here are using it.",3,left sxsw tradeshow demo google theatre ok get see presenter use
"Following #sxsw Tweets on Google Realtime, four platforms on Tweet Deck and listening to panel, realizing I'm spoken to no one here today.",5,follow sxsw tweet google realtime four platform tweet deck listen panel realize 'm spoken one today
Anyone at #sxsw want an iPad 2? I'm in line and will pick one up for someone willing to pay me 50 for me to grab 1 for you?,5,anyone sxsw want ipad 2 'm line pick one someone willing pay 50 grab 1
Anyone at #sxsw want to make a quick hundred dollars? New #ipad2 from ad hoc apple store here gets hundred plus cost!,3,anyone sxsw want make quick hundred dollar new ipad2 ad hoc apple store get hundred plus cost
Solving a #SXSW-induced iPhone-in-toilet crisis at Apple Store with @mention (not my crisis for once),5,solve sxsw-induced iphone-in-toilet crisis apple store crisis
"Monday at #sxsw: barry diller, new york times, congress lunch, W Hotel party, Google party, six dirty martinis. How mondays should be.",3,monday sxsw barry diller new york time congress lunch w hotel party google party six dirty martini monday
Attending #sxsw? Austin Guide by @mention is now free to download on iTunes - {link} #lp,5,attend sxsw austin guide free download itunes link lp
"Seriously #sxsw? Did you do any testing on the mobile apps? Constant iPad crashes causing lost schedules, and no sync for WP7.",1,seriously sxsw test mobile apps constant ipad crash cause lose schedule sync wp7
Ready for #SXSW?! Here are some iPhone apps 2 make ur blogging easier | {link} #SXSW #SXSWi,3,ready sxsw iphone apps 2 make ur blogging easy link sxsw sxswi
ipad2 and #sxsw...a conflagration of doofusness.  {link},1,ipad2 sxsw.a conflagration doofusness link
attention #sxsw'ers - {link} - rumored pop-up temporary Apple store for all your #sxsw iPad 2 launch needs.,3,attention sxsw'ers link rumor pop-up temporary apple store sxsw ipad 2 launch need
I went to #sxswi and all I won was this lousy #iPad #sxsw :-) :-) {link},3,go sxswi lousy ipad sxsw link
Hey #sxsw #sxswi folks. If you want to learn about security come over to #bsidesaustin {link},5,hey sxsw sxswi folk want learn security come bsidesaustin link
Attending #SXSWi? Work in iPhone / iPad game development? Looking to hire an Austin-based iOS developer? I'm your man. Let's talk. #SXSW,5,attend sxswi work iphone ipad game development look hire austin-based io developer 'm man let 's talk sxsw
This is a #WINNING picture #android #google #sxsw {link},3,win picture android google sxsw link
GSD&amp;M + Google 7-10. RT @mention What's the best party to hit tonight? #sxsw @mention @mention,5,gsd amp google 7-10 rt 's best party hit tonight sxsw
GSD&amp;M + Google Industry Party #SXSW @mention great to meet you  {link},5,gsd amp google industry party sxsw great meet link
"You spent $1,000+ to come to SXSW. 

You've already used iPad 1. 

The wait is a couple city blocks. 

Why? #ipad2 #SXSW {link}",1,"spent 1,000+ come sxsw 've already use ipad 1 wait couple city block ipad2 sxsw link"
#sxsw day 1 - Marissa Mayer: Google Will Connect the Digital &amp; Physical Worlds Through Mobile {link},5,sxsw day 1 marissa mayer google connect digital amp physical world mobile link
